Reference, Value, Footprint, Datasheet
"P4","CONN_01X02","Connectors_Phoenix:PhoenixContact_MSTBA-G_02x5.00mm_Angled",""
"P5","CONN_01X02","Connectors_Phoenix:PhoenixContact_MSTBA-G_02x5.00mm_Angled",""
"C1","220u","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm",""
"U3","7805","TO_SOT_Packages_THT:TO-220_Vertical",""
"C2","100u","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm",""
"U1","PIC16(L)F88-I/P","Housings_DIP:DIP-18_W7.62mm",""
"R10","15k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"JP1","Jumper","Pin_Headers:Pin_Header_Angled_1x02_Pitch2.54mm",""
"P3","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"P2","CONN_01X05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm",""
"D5","1N4148","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D6","1N4148","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D7","1N4148","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D8","1N4148","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D9","4V7","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"Q1","BC558","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"R1","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R3","220","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2","100","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"D10","15V","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D11","4V3","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"U2","PC827","Housings_DIP:DIP-8_W7.62mm",""
"R8","1k5","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"Q3","BC558","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"Q2","BC558","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"R7","33k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R5","33k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R6","4k7","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R11","100","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R12","39","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"Q5","BC558","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"Q4","BC547","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"R9","4k7","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"P7","CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"P6","MYSX_2.0","mysensors_connectors:MYSX_2.0",""
"CON1","BARREL_JACK","Connectors:BARREL_JACK",""
